pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
pair1_llama31_same,multifieldqa_en,agg_identity,layer_agg,16,0.3,150,0.513333,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_identity/recv_identity_w16_r0.3_0709_0001
pair1_llama31_same,multifieldqa_en,agg_last,layer_agg,8,0.3,150,0.506667,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last/recv_last_w8_r0.3_0708_2338
pair1_llama31_same,multifieldqa_en,agg_last4,layer_agg,16,0.3,150,0.54,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_last4/recv_last4_w16_r0.3_0709_0024
pair1_llama31_same,multifieldqa_en,agg_mean,layer_agg,8,0.3,150,0.533333,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_mean/recv_mean_w8_r0.3_0708_2344
pair1_llama31_same,multifieldqa_en,agg_top4,layer_agg,16,0.3,150,0.513333,0.321867,,snapshots/layer_aggregation_ablation/pair1_llama31_same/multifieldqa_en/agg_top4/recv_top4_w16_r0.3_0709_0018
pair1_llama31_same,musique,agg_identity,layer_agg,8,0.3,500,0.48,0.321839,,snapshots/layer_aggregation_ablation/pair1_llama31_same/musique/agg_identity/recv_identity_w8_r0.3_0708_2249
pair1_llama31_same,musique,agg_last,layer_agg,8,0.3,500,0.29,0.321839,,snapshots/layer_aggregation_ablation/pair1_llama31_same/musique/agg_last/recv_last_w8_r0.3_0708_2253
pair1_llama31_same,musique,agg_last4,layer_agg,8,0.3,500,0.412,0.321839,,snapshots/layer_aggregation_ablation/pair1_llama31_same/musique/agg_last4/recv_last4_w8_r0.3_0708_2306
pair1_llama31_same,musique,agg_mean,layer_agg,8,0.3,500,0.466,0.321839,,snapshots/layer_aggregation_ablation/pair1_llama31_same/musique/agg_mean/recv_mean_w8_r0.3_0708_2258
pair1_llama31_same,musique,agg_top4,layer_agg,8,0.3,500,0.474,0.321839,,snapshots/layer_aggregation_ablation/pair1_llama31_same/musique/agg_top4/recv_top4_w8_r0.3_0708_2302
pair1_llama31_same,qasper,agg_identity,layer_agg,8,0.3,500,0.344,0.321874,,snapshots/layer_aggregation_ablation/pair1_llama31_same/qasper/agg_identity/recv_identity_w8_r0.3_0708_2024
pair1_llama31_same,qasper,agg_last,layer_agg,16,0.3,500,0.306,0.321874,,snapshots/layer_aggregation_ablation/pair1_llama31_same/qasper/agg_last/recv_last_w16_r0.3_0708_2151
pair1_llama31_same,qasper,agg_last4,layer_agg,16,0.3,500,0.33,0.321874,,snapshots/layer_aggregation_ablation/pair1_llama31_same/qasper/agg_last4/recv_last4_w16_r0.3_0708_2234
pair1_llama31_same,qasper,agg_mean,layer_agg,8,0.3,500,0.346,0.321874,,snapshots/layer_aggregation_ablation/pair1_llama31_same/qasper/agg_mean/recv_mean_w8_r0.3_0708_2053
pair1_llama31_same,qasper,agg_top4,layer_agg,16,0.3,500,0.346,0.321874,,snapshots/layer_aggregation_ablation/pair1_llama31_same/qasper/agg_top4/recv_top4_w16_r0.3_0708_2220
pair1_llama31_same,tipsheets,agg_identity,layer_agg,16,0.3,500,0.874,0.321858,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tipsheets/agg_identity/recv_identity_w16_r0.3_0708_1938
pair1_llama31_same,tipsheets,agg_last,layer_agg,8,0.3,500,0.722,0.321858,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tipsheets/agg_last/recv_last_w8_r0.3_0708_1928
pair1_llama31_same,tipsheets,agg_last4,layer_agg,8,0.3,500,0.734,0.321858,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tipsheets/agg_last4/recv_last4_w8_r0.3_0708_1936
pair1_llama31_same,tipsheets,agg_mean,layer_agg,16,0.3,500,0.864,0.321858,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tipsheets/agg_mean/recv_mean_w16_r0.3_0708_1943
pair1_llama31_same,tipsheets,agg_top4,layer_agg,8,0.3,500,0.758,0.321858,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tipsheets/agg_top4/recv_top4_w8_r0.3_0708_1933
pair1_llama31_same,tmath,agg_identity,layer_agg,16,0.3,300,0.352132,0.3219,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tmath/agg_identity/recv_identity_w16_r0.3_0709_0502
pair1_llama31_same,tmath,agg_last,layer_agg,16,0.3,300,0.340912,0.3219,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tmath/agg_last/recv_last_w16_r0.3_0709_0542
pair1_llama31_same,tmath,agg_last4,layer_agg,8,0.3,300,0.343792,0.3219,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tmath/agg_last4/recv_last4_w8_r0.3_0709_0421
pair1_llama31_same,tmath,agg_mean,layer_agg,8,0.3,300,0.342488,0.3219,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tmath/agg_mean/recv_mean_w8_r0.3_0709_0258
pair1_llama31_same,tmath,agg_top4,layer_agg,8,0.3,300,0.346351,0.3219,,snapshots/layer_aggregation_ablation/pair1_llama31_same/tmath/agg_top4/recv_top4_w8_r0.3_0709_0340
pair1_llama31_same,twowikimqa,agg_identity,layer_agg,16,0.3,200,0.41,0.321877,,snapshots/layer_aggregation_ablation/pair1_llama31_same/twowikimqa/agg_identity/recv_identity_w16_r0.3_0709_0102
pair1_llama31_same,twowikimqa,agg_last,layer_agg,16,0.3,200,0.465,0.321877,,snapshots/layer_aggregation_ablation/pair1_llama31_same/twowikimqa/agg_last/recv_last_w16_r0.3_0709_0108
pair1_llama31_same,twowikimqa,agg_last4,layer_agg,16,0.3,200,0.46,0.321877,,snapshots/layer_aggregation_ablation/pair1_llama31_same/twowikimqa/agg_last4/recv_last4_w16_r0.3_0709_0127
pair1_llama31_same,twowikimqa,agg_mean,layer_agg,16,0.3,200,0.44,0.321877,,snapshots/layer_aggregation_ablation/pair1_llama31_same/twowikimqa/agg_mean/recv_mean_w16_r0.3_0709_0114
pair1_llama31_same,twowikimqa,agg_top4,layer_agg,16,0.3,200,0.47,0.321877,,snapshots/layer_aggregation_ablation/pair1_llama31_same/twowikimqa/agg_top4/recv_top4_w16_r0.3_0709_0120
