pair,task,sample_key,idx,id,solved,oracle_ratio,oracle_needed_budget,capped_oracle_needed_budget,unsolved_cap_budget,brekv_budget,brekv_score
pair1_llama31_same,countries,190,190,NA,True,0.2,0.228027,0.228027,0.606445,0.29834,1.0
pair1_llama31_same,countries,191,191,NA,True,0.2,0.230699,0.230699,0.615349,0.293199,1.0
pair1_llama31_same,countries,192,192,NA,False,NA,NA,0.615575,0.615575,0.291667,0.0
pair1_llama31_same,countries,193,193,NA,True,0.3,0.316176,0.316176,0.615349,0.278033,1.0
pair1_llama31_same,countries,194,194,NA,True,0.2,0.225,0.225,0.6125,0.293269,1.0
pair1_llama31_same,countries,195,195,NA,True,0.2,0.219618,0.219618,0.609809,0.309896,1.0
pair1_llama31_same,countries,196,196,NA,False,NA,NA,0.606445,0.606445,0.293457,0.0
pair1_llama31_same,countries,197,197,NA,True,0.2,0.231151,0.231151,0.615575,0.294643,1.0
pair1_llama31_same,countries,198,198,NA,True,0.2,0.219216,0.219216,0.609608,0.298974,1.0
pair1_llama31_same,countries,199,199,NA,False,NA,NA,0.615575,0.615575,0.290179,0.0
pair1_llama31_same,hotpotqa,0::5add1d575542992c1e3a2540,0,5add1d575542992c1e3a2540,False,NA,NA,0.611435,0.611435,0.269402,0.0
pair1_llama31_same,hotpotqa,1::5ac55ea55542993e66e82377,1,5ac55ea55542993e66e82377,True,0.15,0.178668,0.178668,0.613904,0.275136,1.0
pair1_llama31_same,hotpotqa,2::5ac3a76e554299741d48a2be,2,5ac3a76e554299741d48a2be,True,0.1,0.126445,0.126445,0.61362,0.263548,1.0
pair1_llama31_same,hotpotqa,3::5a7133565542994082a3e65c,3,5a7133565542994082a3e65c,True,0.15,0.176006,0.176006,0.610273,0.231322,1.0
pair1_llama31_same,hotpotqa,4::5ac1a4745542991316484b82,4,5ac1a4745542991316484b82,True,0.35,0.374349,0.374349,0.616536,0.293945,0.0
pair1_llama31_same,hotpotqa,5::5adc597d55429947ff17392f,5,5adc597d55429947ff17392f,True,0.25,0.269928,0.269928,0.613904,0.287591,1.0
pair1_llama31_same,hotpotqa,6::5ac55e835542993e66e82375,6,5ac55e835542993e66e82375,True,0.1,0.13125,0.13125,0.6125,0.302218,1.0
pair1_llama31_same,hotpotqa,7::5a8d9e0f554299441c6ba015,7,5a8d9e0f554299441c6ba015,True,0.35,0.371622,0.371622,0.6125,0.222973,0.0
pair1_llama31_same,hotpotqa,8::5ae70ed7554299572ea546a1,8,5ae70ed7554299572ea546a1,True,0.15,0.177331,0.177331,0.615575,0.271081,0.0
pair1_llama31_same,hotpotqa,9::5a74a8fa55429929fddd8497,9,5a74a8fa55429929fddd8497,True,0.3,0.323966,0.323966,0.609712,0.270459,1.0
pair1_llama31_same,hotpotqa,10::5a7cb94f554299683c1c6353,10,5a7cb94f554299683c1c6353,True,0.3,0.325051,0.325051,0.610912,0.272285,0.0
pair1_llama31_same,hotpotqa,11::5ab874ba5542990e739ec904,11,5ab874ba5542990e739ec904,True,0.15,0.180288,0.180288,0.608774,0.276142,1.0
pair1_llama31_same,hotpotqa,12::5ae3a8985542992f92d82329,12,5ae3a8985542992f92d82329,True,0.35,0.369544,0.369544,0.615575,0.330109,1.0
pair1_llama31_same,hotpotqa,13::5ac39f7b554299218029dbe7,13,5ac39f7b554299218029dbe7,True,0.2,0.222928,0.222928,0.611464,0.301638,1.0
pair1_llama31_same,hotpotqa,14::5ae27b535542996483e649b6,14,5ae27b535542996483e649b6,True,0.1,0.12594,0.12594,0.613957,0.270442,1.0
pair1_llama31_same,hotpotqa,15::5a7331de5542994cef4bc4a8,15,5a7331de5542994cef4bc4a8,False,NA,NA,0.613689,0.613689,0.266296,0.0
pair1_llama31_same,hotpotqa,16::5ac15de55542991316484afb,16,5ac15de55542991316484afb,True,0.15,0.1785,0.1785,0.6125,0.27375,1.0
pair1_llama31_same,hotpotqa,17::5a7c6c9d554299683c1c6302,17,5a7c6c9d554299683c1c6302,True,0.3,0.320312,0.320312,0.609375,0.276966,0.0
pair1_llama31_same,hotpotqa,18::5ae6363b55429929b0807af0,18,5ae6363b55429929b0807af0,True,0.35,0.372106,0.372106,0.614294,0.272569,0.0
pair1_llama31_same,hotpotqa,19::5a8cea40554299441c6b9f76,19,5a8cea40554299441c6b9f76,False,NA,NA,0.6125,0.6125,0.264489,0.0
pair1_llama31_same,hotpotqa,20::5ab5ecd75542992aa134a3e6,20,5ab5ecd75542992aa134a3e6,True,0.15,0.172159,0.172159,0.6125,0.260511,0.0
pair1_llama31_same,hotpotqa,21::5a84c5545542991dd0999dee,21,5a84c5545542991dd0999dee,True,0.3,0.319067,0.319067,0.613904,0.276721,0.0
pair1_llama31_same,hotpotqa,22::5adeacf955429975fa854f66,22,5adeacf955429975fa854f66,True,0.2,0.225,0.225,0.6125,0.311538,1.0
pair1_llama31_same,hotpotqa,23::5a8ce15d554299653c1aa12f,23,5a8ce15d554299653c1aa12f,False,NA,NA,0.615154,0.615154,0.244863,0.0
pair1_llama31_same,hotpotqa,24::5ade4da055429939a52fe878,24,5ade4da055429939a52fe878,True,0.15,0.178233,0.178233,0.6125,0.280172,1.0
pair1_llama31_same,hotpotqa,25::5ab2a186554299295394677b,25,5ab2a186554299295394677b,True,0.2,0.2267,0.2267,0.609101,0.258772,1.0
pair1_llama31_same,hotpotqa,26::5ade66e1554299728e26c713,26,5ade66e1554299728e26c713,True,0.5,0.518161,0.518161,0.614529,0.274869,0.0
pair1_llama31_same,hotpotqa,27::5a7c634c55429907fabeef79,27,5a7c634c55429907fabeef79,True,0.1,0.126929,0.126929,0.611304,0.253665,1.0
pair1_llama31_same,hotpotqa,28::5ae13f3c5542997b2ef7d168,28,5ae13f3c5542997b2ef7d168,True,0.15,0.175713,0.175713,0.609101,0.315241,1.0
pair1_llama31_same,hotpotqa,29::5ae17cd055429901ffe4aea3,29,5ae17cd055429901ffe4aea3,True,0.1,0.127483,0.127483,0.615066,0.275041,1.0
pair1_llama31_same,hotpotqa,30::5ae7940c55429952e35ea984,30,5ae7940c55429952e35ea984,True,0.15,0.1785,0.1785,0.6125,0.2865,1.0
pair1_llama31_same,hotpotqa,31::5a7296815542991f9a20c515,31,5a7296815542991f9a20c515,True,0.1,0.12706,0.12706,0.611435,0.291724,1.0
pair1_llama31_same,hotpotqa,32::5ab2e8ad554299340b525562,32,5ab2e8ad554299340b525562,True,0.3,0.322603,0.322603,0.613957,0.25235,0.0
pair1_llama31_same,hotpotqa,33::5a89b1de5542992e4fca8378,33,5a89b1de5542992e4fca8378,True,0.15,0.181057,0.181057,0.610503,0.283827,1.0
pair1_llama31_same,hotpotqa,34::5ab78edc5542995dae37e95c,34,5ab78edc5542995dae37e95c,False,NA,NA,0.609244,0.609244,0.295956,0.0
pair1_llama31_same,hotpotqa,35::5ae73acb5542991e8301cc07,35,5ae73acb5542991e8301cc07,True,0.15,0.174769,0.174769,0.614294,0.276042,1.0
pair1_llama31_same,hotpotqa,36::5a8257fa55429940e5e1a866,36,5a8257fa55429940e5e1a866,True,0.25,0.272069,0.272069,0.611405,0.295551,1.0
pair1_llama31_same,hotpotqa,37::5a8d8e4f5542994ba4e3dca7,37,5a8d8e4f5542994ba4e3dca7,False,NA,NA,0.611136,0.611136,0.24934,0.0
pair1_llama31_same,hotpotqa,38::5a8a07725542992d82986e5b,38,5a8a07725542992d82986e5b,True,0.25,0.273438,0.273438,0.614142,0.280058,1.0
pair1_llama31_same,hotpotqa,39::5a79fac85542996c55b2dcc1,39,5a79fac85542996c55b2dcc1,True,0.15,0.1785,0.1785,0.6125,0.2635,1.0
pair1_llama31_same,hotpotqa,40::5a81537355429926c1cdad20,40,5a81537355429926c1cdad20,True,0.2,0.225,0.225,0.6125,0.270117,1.0
pair1_llama31_same,hotpotqa,41::5a721d5a55429971e9dc9283,41,5a721d5a55429971e9dc9283,False,NA,NA,0.610394,0.610394,0.243376,0.0
pair1_llama31_same,hotpotqa,42::5a7aa2a255429941d65f270e,42,5a7aa2a255429941d65f270e,True,0.2,0.22771,0.22771,0.613855,0.263112,1.0
pair1_llama31_same,hotpotqa,43::5abe6f8455429965af743f03,43,5abe6f8455429965af743f03,False,NA,NA,0.6106,0.6106,0.270527,0.0
pair1_llama31_same,hotpotqa,44::5ae7257a554299572ea54731,44,5ae7257a554299572ea54731,True,0.25,0.273438,0.273438,0.614984,0.239383,0.0
pair1_llama31_same,hotpotqa,45::5ac0e0e25542997d64295a6f,45,5ac0e0e25542997d64295a6f,True,0.2,0.229403,0.229403,0.614702,0.29652,1.0
pair1_llama31_same,hotpotqa,46::5a72688c5542997f827839b2,46,5a72688c5542997f827839b2,True,0.1,0.126693,0.126693,0.613454,0.22814,1.0
pair1_llama31_same,hotpotqa,47::5adea0c5554299728e26c776,47,5adea0c5554299728e26c776,True,0.15,0.1785,0.1785,0.6125,0.274,1.0
pair1_llama31_same,hotpotqa,48::5ab8372255429919ba4e226b,48,5ab8372255429919ba4e226b,True,0.15,0.173018,0.173018,0.614075,0.263465,0.0
pair1_llama31_same,hotpotqa,49::5ac0e064554299012d1db64e,49,5ac0e064554299012d1db64e,True,0.25,0.275789,0.275789,0.614381,0.290959,1.0
